# ----------------------------------------
# All Web Site Data
# Location
# 20181105-20181111
# ----------------------------------------

Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages/Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
United States,"15,663",100.00%,"15,663",100.00%,1.00,00:00:00,0.00%,0,US$0.00
India,"5,458",100.00%,"5,458",99.96%,1.00,<00:00:01,0.00%,0,US$0.00
Germany,"4,778",100.00%,"4,778",100.00%,1.00,00:00:00,0.00%,0,US$0.00
Brazil,"3,603",100.00%,"3,603",99.97%,1.00,<00:00:01,0.00%,0,US$0.00
United Kingdom,"3,438",100.00%,"3,438",99.97%,1.00,<00:00:01,0.00%,0,US$0.00
Turkey,"3,303",100.00%,"3,303",100.00%,1.00,00:00:00,0.00%,0,US$0.00
France,"3,255",100.00%,"3,255",100.00%,1.00,00:00:00,0.00%,0,US$0.00
China,"3,238",100.00%,"3,238",99.97%,1.00,<00:00:01,0.00%,0,US$0.00
Russia,"2,439",100.00%,"2,439",100.00%,1.00,00:00:00,0.00%,0,US$0.00
Canada,"2,158",100.00%,"2,158",99.95%,1.00,<00:00:01,0.00%,0,US$0.00
Japan,"2,085",100.00%,"2,085",99.90%,1.00,<00:00:01,0.00%,0,US$0.00
Spain,"1,411",100.00%,"1,411",100.00%,1.00,00:00:00,0.00%,0,US$0.00
Poland,"1,348",100.00%,"1,348",100.00%,1.00,00:00:00,0.00%,0,US$0.00
Taiwan,"1,188",100.00%,"1,188",100.00%,1.00,00:00:00,0.00%,0,US$0.00
Indonesia,"1,126",100.00%,"1,126",100.00%,1.00,00:00:00,0.00%,0,US$0.00
Italy,"1,077",100.00%,"1,077",100.00%,1.00,00:00:00,0.00%,0,US$0.00
South Korea,"1,040",100.00%,"1,040",100.00%,1.00,00:00:00,0.00%,0,US$0.00
Mexico,989,100.00%,989,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Colombia,794,100.00%,794,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Netherlands,740,100.00%,740,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Australia,730,100.00%,730,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Thailand,677,100.00%,677,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Singapore,661,100.00%,661,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Pakistan,600,100.00%,600,99.67%,1.00,<00:00:01,0.00%,0,US$0.00
Israel,575,100.00%,575,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Ukraine,557,100.00%,557,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Hong Kong,555,100.00%,555,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Belgium,499,100.00%,499,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Switzerland,498,100.00%,498,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Sweden,484,100.00%,484,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Finland,435,100.00%,435,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Ireland,421,100.00%,421,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Chile,406,100.00%,406,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Portugal,380,100.00%,380,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Romania,334,100.00%,334,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Argentina,333,100.00%,333,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Denmark,333,100.00%,333,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Peru,331,100.00%,331,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Austria,316,100.00%,316,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Greece,311,100.00%,311,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Vietnam,293,100.00%,293,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Philippines,279,100.00%,279,100.00%,1.00,00:00:00,0.00%,0,US$0.00
South Africa,244,100.00%,244,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Malaysia,211,100.00%,211,99.53%,1.00,<00:00:01,0.00%,0,US$0.00
Norway,210,100.00%,210,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Saudi Arabia,209,100.00%,209,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Czechia,196,100.00%,196,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Bangladesh,171,100.00%,171,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Egypt,154,100.00%,154,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Morocco,152,100.00%,152,99.34%,1.01,<00:00:01,0.00%,0,US$0.00
Slovakia,146,100.00%,146,100.00%,1.00,00:00:00,0.00%,0,US$0.00
New Zealand,144,100.00%,144,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Serbia,140,100.00%,140,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Kazakhstan,136,100.00%,136,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Hungary,134,100.00%,134,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Croatia,132,100.00%,132,100.00%,1.00,00:00:00,0.00%,0,US$0.00
