,org,repo,ref,pageviews,unique_pageviews
0,ipython,ipython-in-depth,master,"753,447","713,383"
1,jupyterlab,jupyterlab-demo,master,"273,887","262,973"
3,bokeh,bokeh-notebooks,master,"44,435","43,951"
4,binder-examples,r,master,"34,956","33,251"
5,binder-examples,julia-python,master,"17,640","16,841"
6,ipython,ipython-in-depth,master,"9,402","9,200"
7,jupyterlab,jupyterlab-demo,master,"8,923","8,515"
8,jupyterlab,jupyterlab-demo,18a9793b58ba86660b5ab964e1aeaf7324d667c8,"6,765","6,456"
9,QuantStack,xeus-cling,stable,"6,694","6,694"
10,wshuyi,demo-spacy-text-processing,master,"6,683","6,681"
11,jvns,pandas-cookbook,master,"4,352","4,180"
12,aforechi,ifes-cpp,master,"3,794","3,344"
13,QISKit,qiskit-tutorial,master,"3,718","3,718"
14,losc-tutorial,LOSC_Event_tutorial,master,"3,705","3,496"
15,rlabbe,Kalman-and-Bayesian-Filters-in-Python,master,"3,693","3,507"
16,nteract,examples,master,"3,042","3,042"
17,QuantStack,xeus-cling,8e941852143e59d4d2400a4da9673b092cddf10e,"3,036","3,035"
18,djsegal,tetris-binder,master,"2,436","2,398"
19,dask,dask-examples,master,"2,333","2,279"
20,sisaza,informatica.git,master,"2,231","2,224"
21,jakevdp,PythonDataScienceHandbook,master,"1,986","1,830"
22,dask,dask-examples,master,"1,962","1,921"
23,quantopian,qgrid-notebooks,master,"1,898","1,815"
24,cernphsft,rootbinder,master,"1,843","1,775"
25,yunabe,lgo-binder,master,"1,806","1,799"
26,jupyterlab,jupyterlab-demo,8b4372,"1,791","1,791"
27,djsegal,tetris-binder,master,"1,758","1,395"
28,pymc-devs,pymc3,master,"1,751","1,694"
29,SpencerPark,ijava-binder,master,"1,611","1,475"
30,dask,dask-examples,master,"1,536","1,512"
32,jupyterlab,jupyterlab-demo,master,"1,480","1,443"
33,AllenDowney,ThinkDSP,master,"1,367","1,319"
34,data-8,textbook,gh-pages,"1,320","1,284"
35,dask,dask-examples,master,"1,292","1,262"
36,Microsoft,cognitive-services-notebooks,master,"1,252","1,178"
37,ComputoCienciasUniandes,MetodosComputacionalesAvanzados,master,"1,173","1,173"
38,brian-team,brian2-binder,master,"1,154","1,096"
39,rougier,numpy-100,master,"1,153","1,153"
41,parmentelat,RISE.git,doc2,"1,038","1,033"
42,dask,dask-examples,master,"1,032","1,031"
43,GenericMappingTools,try-gmt-python,master,"1,029",997
44,data-8,textbook,gh-pages,"1,004","1,004"
45,wildtreetech,explore-open-data,binder20-elife,946,903
46,lightning-viz,lightning-example-notebooks,master,920,894
47,DecodedCo,decision-tree-notebook,master,910,905
48,Microsoft,cognitive-services-notebooks,master,893,828
49,QuantStack,xeus-cling,0.4.5,871,871
51,ricklupton,floweaver,master,849,812
52,twosigma,beakerx,1.0.0,830,830
53,binder-examples,r,master,827,804
54,sisaza,informatica,master,789,641
56,norvig,pytudes,master,730,675
57,uhd-pap,course-deploy,master,730,678
58,Calysto,calysto_scheme,master,727,727
59,rougier,numpy-100,master,702,700
60,santanche,lab2learn,master,700,700
61,Microsoft,cognitive-services-notebooks,master,678,641
62,data-8,textbook,gh-pages,676,653
63,aforechi,ifes-cpp,master,660,660
64,Geo-Python-2018,Binder,master,651,651
65,JeppeDruedahl,NumEcon,master,634,634
66,pbiecek,DALEX_docs,master,624,624
67,4QuantOSS,DashIntro,master,615,588
68,quantopian,qgrid-notebooks,master,611,586
69,aforechi,ifes-cpp,02c896f6ac7431040818e106d0e6b45ab013ca8d,589,589
70,data-8,textbook,gh-pages,589,581
71,agile-geoscience,xlines,master,584,563
72,yandexdataschool,Practical_RL,master,568,532
73,mrcinv,ovs.py,master,561,561
74,uvg-cc2005,jupyter-diccionarios,master,559,559
75,data-8,textbook,gh-pages,558,546
76,twosigma,beakerx,0.14.0,554,500
77,binder-examples,requirements,master,544,520
78,samuelmanzer,python-bootcamp,master,535,535
79,aforechi,ifes-cpp-2018-2,master,531,531
80,nteract,vdom,master,524,524
81,CropEvol,remote_py3,master,523,523
82,brian-team,brian2-binder,master,515,493
83,aforechi,ifes-num-2018-2,master,514,514
84,binder-examples,r,master,513,507
85,binder-examples,jupyterlab,master,502,480
86,ksteinfe,decodes_ipynb,master,500,406
87,rhiever,Data-Analysis-and-Machine-Learning-Projects,master,498,498
88,data-8,textbook,gh-pages,494,494
90,QuantStack,xeus-cling,0.4.3,469,469
91,4QuantOSS,DashIntro,master,467,426
92,cs109,2015lab1,master,467,438
93,udsonmiranda291,eletropythonufmg,master,467,450
94,data-8,materials-sp18,master,461,369
95,wshuyi,demo-python-handle-text-files,master,461,459
96,xbresson,CE7454_2018,master,461,461
97,aforechi,ifes-alg-2018-2,master,452,452
98,kwant-project,kwant-tutorial-2016,master,434,419
99,AndeanROAD,PythonISYA,master,433,433
100,MindFoundry,optaas-tutorials,master,427,427
101,johntfoster,rotation_widget,master,426,410
102,mmngreco,quantdare_posts,master,426,415
103,nteract,vdom,master,426,342
104,yzhao062,Pyod,master,424,424
105,ericmjl,Network-Analysis-Made-Simple,master,422,422
106,numba,numba-examples,master,421,421
107,oschuett,appmode,master,420,395
108,SpencerPark,ijava-binder,master,420,420
109,mpbeu,Intro,master,413,369
110,cmbant,camb,master,404,363
111,decodoku,A_Game_to_Benchmark_Quantum_Computers,master,396,369
112,data-8,textbook,gh-pages,391,390
113,dpploy,chen-3170,master,389,389
114,tsakailab,prml,master,389,389
115,elegant-scipy,notebooks,master,386,380
116,damianavila,RISE,master,383,383
117,losc-tutorial,quickview,master,383,368
118,quantopian,qgrid-notebooks,master,382,337
119,data-8,textbook,gh-pages,381,374
120,daavoo,pyntcloud,master,379,379
