,Pageviews,Unique Pageviews,user,repo,ref
0,"18,309","12,086",ipython,ipython-in-depth,master
1,"6,995","5,066",jupyterlab,jupyterlab-demo,master
3,"1,047",767,binder-examples,r,master
4,850,732,jupyterlab,jupyterlab-demo,18a9793b58ba86660b5ab964e1aeaf7324d667c8
5,531,410,jupyterlab,jupyterlab-demo,master
6,492,372,binder-examples,julia-python,master
7,202,147,data-8,materials-sp18,master
8,157,117,rlabbe,Kalman-and-Bayesian-Filters-in-Python,master
9,135,69,aforechi,ifes-cpp,master
10,112,95,jvns,pandas-cookbook,master
11,107,83,mmoelter,Phys133,master
12,102,83,decodoku,A_Game_to_Benchmark_Quantum_Computers,master
13,100,69,jakevdp,PythonDataScienceHandbook,master
14,99,71,quantopian,qgrid-notebooks,master
15,98,78,uhd-pap,course-deploy,master
16,93,74,rougier,numpy-100,master
17,82,71,cernphsft,rootbinder,master
18,82,64,compstat-lmu,lecture_intro_to_ml_notebooks,master
19,75,55,bwilk7,CMSC331,Spring2018
20,75,59,SpencerPark,ijava-binder,master
21,68,48,dmollaaliod,comp348-2018,master
22,67,54,bokeh,bokeh-notebooks,master
23,64,50,sisaza,informatica,master
24,64,53,sjoerddehaan,ml-course-2018,master
25,60,50,panicinc,speed_mystery,master
26,56,40,AllenDowney,ThinkDSP,master
27,53,38,norvig,pytudes,master
28,51,43,pymc-devs,pymc3,master
29,49,37,wildtreetech,explore-open-data,binder20-elife
30,46,29,nd1,WiDS2018,master
31,45,38,lightning-viz,lightning-example-notebooks,master
32,44,43,data-8,textbook,gh-pages
33,42,29,bwilk7,CMSC331,Spring2018
34,42,39,DecodedCo,decision-tree-notebook,master
35,41,39,data-8,textbook,gh-pages
36,39,33,bwilk7,CMSC433,Spring2018
37,39,29,folivetti,AprendizadoMaquina,master
38,38,28,quantopian,qgrid-notebooks,master
39,38,25,UCLA-Plasma-Simulation-Group,JupyterPIC,master
40,37,32,bwilk7,CMSC433,Spring2018
41,36,32,brian-team,brian2-binder,master
42,36,26,bwilk7,CMSC433,Spring2018
43,35,24,Microsoft,cognitive-services-notebooks,master
44,35,27,yandexdataschool,Practical_RL,master
45,34,21,cs109,2015lab1,master
46,34,33,data-8,textbook,gh-pages
47,34,24,Microsoft,cognitive-services-notebooks,master
48,33,31,GenericMappingTools,try-gmt-python,master
49,33,20,ksteinfe,decodes_ipynb,master
50,32,24,minrk,ligo-binder,master
51,31,25,bwilk7,CMSC433,Spring2018
52,29,11,bwilk7,CMSC331,Spring2018
53,29,26,PGE383-HPC,live_lectures,master
54,28,20,bloomberg,bqplot,0.10.4-binder2
